timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839961.023, lauv-xplore-1, Power Supply, 14.000
1516839961.030, lauv-xplore-1, Power Supply, 14.000
1516839961.040, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839961.040, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839961.040, lauv-xplore-1, Motor, 10.000
1516839961.061, lauv-xplore-1, Depth Sensor, 10.348
1516839961.161, lauv-xplore-1, Depth Sensor, 10.348
1516839961.206, lauv-xplore-1, Power Supply, 14.000
1516839961.262, lauv-xplore-1, Depth Sensor, 10.348
1516839961.362, lauv-xplore-1, Depth Sensor, 10.348
1516839961.407, lauv-xplore-1, Power Supply, 14.000
1516839961.462, lauv-xplore-1, Depth Sensor, 10.348
1516839961.562, lauv-xplore-1, Depth Sensor, 10.348
1516839961.608, lauv-xplore-1, Power Supply, 14.000
1516839961.661, lauv-xplore-1, Depth Sensor, 10.365
1516839961.761, lauv-xplore-1, Depth Sensor, 10.365
1516839961.807, lauv-xplore-1, Power Supply, 14.000
1516839961.811, lauv-xplore-1, Water Quality Sensor, 14.063
1516839961.861, lauv-xplore-1, Depth Sensor, 10.365
1516839961.962, lauv-xplore-1, Depth Sensor, 10.365
1516839961.974, lauv-xplore-1, Mainboard (Core), 25.687
1516839961.975, lauv-xplore-1, Mainboard (SuperIO), 23.187
1516839961.975, lauv-xplore-1, Mainboard (Board), 21.687
1516839962.058, lauv-xplore-1, Power Supply, 14.000
1516839962.061, lauv-xplore-1, Depth Sensor, 10.365
1516839962.065, lauv-xplore-1, Power Supply, 14.000
1516839962.161, lauv-xplore-1, Depth Sensor, 10.365
1516839962.262, lauv-xplore-1, Depth Sensor, 10.365
1516839962.308, lauv-xplore-1, Power Supply, 14.000
1516839962.362, lauv-xplore-1, Depth Sensor, 10.365
1516839962.462, lauv-xplore-1, Depth Sensor, 10.365
1516839962.508, lauv-xplore-1, Power Supply, 14.000
1516839962.562, lauv-xplore-1, Depth Sensor, 10.365
1516839962.661, lauv-xplore-1, Depth Sensor, 10.365
1516839962.709, lauv-xplore-1, Power Supply, 14.000
1516839962.761, lauv-xplore-1, Depth Sensor, 10.365
1516839962.811, lauv-xplore-1, Water Quality Sensor, 14.059
1516839962.861, lauv-xplore-1, Depth Sensor, 10.365
1516839962.908, lauv-xplore-1, Power Supply, 14.000
1516839962.961, lauv-xplore-1, Depth Sensor, 10.365
1516839962.974, lauv-xplore-1, Mainboard (Core), 25.687
1516839962.974, lauv-xplore-1, Mainboard (SuperIO), 23.187
1516839962.974, lauv-xplore-1, Mainboard (Board), 21.687
1516839963.061, lauv-xplore-1, Depth Sensor, 10.365
1516839963.108, lauv-xplore-1, Power Supply, 14.000
1516839963.115, lauv-xplore-1, Power Supply, 14.000
1516839963.140, lauv-xplore-1, Motor Controller (MCU), 24.000
1516839963.140, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839963.140, lauv-xplore-1, Motor, 10.000
1516839963.161, lauv-xplore-1, Depth Sensor, 10.365
1516839963.261, lauv-xplore-1, Depth Sensor, 10.365
1516839963.361, lauv-xplore-1, Depth Sensor, 10.365
1516839963.461, lauv-xplore-1, Depth Sensor, 10.365
1516839963.562, lauv-xplore-1, Depth Sensor, 10.365
1516839963.610, lauv-xplore-1, Power Supply, 14.000
